Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
36565631,06/28/2017 12:00:00 AM,07/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11215,480 1ST STREET,1ST STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,07/28/2017 08:30:02 PM,07/12/2017 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,990698,183766,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67106961625287,-73.97675568398456,"(40.67106961625287, -73.97675568398456)"
36565629,06/28/2017 12:00:00 AM,07/15/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11217,416 STATE STREET,STATE STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,07/28/2017 07:35:13 PM,07/15/2017 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,988786,189583,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68703714961192,-73.98364431377294,"(40.68703714961192, -73.98364431377294)"
36566776,06/28/2017 12:00:00 AM,06/30/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11234,1505 EAST   55 STREET,EAST   55 STREET,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 09:07:29 AM,06/30/2017 12:00:00 AM,18 BROOKLYN,BROOKLYN,1005862,165197,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62007770765484,-73.92215067539476,"(40.62007770765484, -73.92215067539476)"
36566894,06/28/2017 12:00:00 AM,07/10/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11436,117-14 146 STREET,146 STREET,FOCH BOULEVARD,119 AVENUE,,,ADDRESS,Jamaica,,N/A,Closed,07/28/2017 04:21:06 AM,07/10/2017 12:00:00 AM,12 QUEENS,QUEENS,1041241,187020,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.679819998478195,-73.79452670064731,"(40.679819998478195, -73.79452670064731)"
36567870,06/28/2017 12:00:00 AM,05/03/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10009,514 EAST 12TH STREET,EAST 12TH STREET,,,,,LATLONG,NEW YORK,,N/A,Pending,07/28/2017 05:46:16 PM,06/28/2017 05:48:55 PM,Unspecified MANHATTAN,MANHATTAN,989627,204697,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.728521033240945,-73.98059980778845,"(40.728521033240945, -73.98059980778845)"
36567871,06/28/2017 12:00:00 AM,07/25/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11436,141-08 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,141 STREET,142 STREET,,,ADDRESS,Jamaica,,N/A,Closed,07/28/2017 06:42:46 AM,07/25/2017 12:00:00 AM,12 QUEENS,QUEENS,1039879,184962,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6741799321505,-73.79945417604773,"(40.6741799321505, -73.79945417604773)"
36567952,06/28/2017 12:00:00 AM,06/20/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11433,110-29 167 STREET,167 STREET,110 ROAD,111 AVENUE,,,ADDRESS,Jamaica,,N/A,Pending,07/28/2017 08:28:32 PM,06/28/2017 08:34:38 PM,12 QUEENS,QUEENS,1043850,192201,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69402343149425,-73.78507451189947,"(40.69402343149425, -73.78507451189947)"
36567957,06/28/2017 12:00:00 AM,07/05/2017 02:30:07 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11213,1565 PACIFIC STREET,PACIFIC STREET,KINGSTON AVENUE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 02:30:55 PM,07/05/2017 02:30:07 PM,08 BROOKLYN,BROOKLYN,1001063,185966,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67709450336687,-73.93938554319753,"(40.67709450336687, -73.93938554319753)"
36567976,06/28/2017 12:00:00 AM,05/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10029,210 EAST  111 STREET,EAST  111 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,07/28/2017 03:05:59 PM,06/28/2017 03:09:44 PM,11 MANHATTAN,MANHATTAN,1000349,228755,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79454102819168,-73.94185727246955,"(40.79454102819168, -73.94185727246955)"
36567974,06/28/2017 12:00:00 AM,07/07/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11417,90-07 107 AVENUE,107 AVENUE,90 STREET,91 STREET,,,ADDRESS,Ozone Park,,N/A,Closed,07/28/2017 10:31:27 AM,07/07/2017 12:00:00 AM,10 QUEENS,QUEENS,1026477,186436,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.678299795854336,-73.84775982804008,"(40.678299795854336, -73.84775982804008)"
36569142,06/28/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11221,874 JEFFERSON AVENUE,JEFFERSON AVENUE,RALPH AVENUE,HOWARD AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 04:53:33 PM,07/11/2017 12:00:00 AM,03 BROOKLYN,BROOKLYN,1005762,189377,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68644674709857,-73.92243376305125,"(40.68644674709857, -73.92243376305125)"
36569140,06/28/2017 12:00:00 AM,07/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10314,89A MCDIVITT AVENUE,MCDIVITT AVENUE,SHIRRA AVENUE,BEND,,,ADDRESS,STATEN ISLAND,,N/A,Closed,07/28/2017 12:36:52 PM,07/12/2017 12:00:00 AM,02 STATEN ISLAND,STATEN ISLAND,942600,154470,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59056278555002,-74.14996263271992,"(40.59056278555002, -74.14996263271992)"
36569231,06/28/2017 12:00:00 AM,06/30/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11204,1917 64 STREET,64 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 10:32:43 AM,06/30/2017 12:00:00 AM,11 BROOKLYN,BROOKLYN,987902,164470,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61810785075295,-73.98684539575254,"(40.61810785075295, -73.98684539575254)"
36569232,06/29/2017 12:00:00 AM,07/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,143 LEFFERTS PLACE,LEFFERTS PLACE,,,,,LATLONG,BROOKLYN,,N/A,Closed,07/29/2017 12:01:49 AM,07/12/2017 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,995949,187363,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.680937187344306,-73.95782017707374,"(40.680937187344306, -73.95782017707374)"
36570186,06/28/2017 12:00:00 AM,05/10/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10035,231 EAST  117 STREET,EAST  117 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,07/28/2017 04:04:47 PM,06/28/2017 04:11:57 PM,11 MANHATTAN,MANHATTAN,1001222,230121,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79828869283937,-73.93870091717731,"(40.79828869283937, -73.93870091717731)"
36570341,06/28/2017 12:00:00 AM,07/22/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10310,,,,,CLOVE ROAD,ALLEN COURT,INTERSECTION,STATEN ISLAND,,N/A,Closed,07/28/2017 05:06:02 PM,07/22/2017 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,950782,167728,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62698791296564,-74.12056873207477,"(40.62698791296564, -74.12056873207477)"
36570342,06/28/2017 12:00:00 AM,04/28/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11432,166-06 90 AVENUE,90 AVENUE,MERRICK BOULEVARD,168 STREET,,,ADDRESS,Jamaica,,N/A,Pending,07/28/2017 09:01:47 PM,06/28/2017 09:07:00 PM,12 QUEENS,QUEENS,1041184,197026,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70728444400714,-73.79464763528675,"(40.70728444400714, -73.79464763528675)"
36570343,06/28/2017 12:00:00 AM,06/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10456,459 EAST  167 STREET,EAST  167 STREET,PARK AVENUE,WASHINGTON AVENUE,,,ADDRESS,BRONX,,N/A,Pending,07/28/2017 09:16:21 PM,06/28/2017 09:19:09 PM,03 BRONX,BRONX,1009638,241685,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.830008452684275,-73.90826047707239,"(40.830008452684275, -73.90826047707239)"
36570359,06/28/2017 12:00:00 AM,07/13/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,11216,FULTON STREET,FULTON STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,07/28/2017 09:49:37 PM,07/13/2017 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,996548,187434,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68113125424869,-73.95566040054574,"(40.68113125424869, -73.95566040054574)"
36571368,06/28/2017 12:00:00 AM,06/12/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11435,139-13 90 AVENUE,90 AVENUE,139 STREET,143 STREET,,,ADDRESS,Jamaica,,N/A,Pending,07/28/2017 10:46:20 AM,06/28/2017 10:48:55 AM,12 QUEENS,QUEENS,1036293,194917,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70152586770855,-73.81230497844865,"(40.70152586770855, -73.81230497844865)"
36571370,06/28/2017 12:00:00 AM,06/30/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10032,,,,,WEST 154 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,07/28/2017 07:17:48 AM,06/30/2017 12:00:00 AM,09 MANHATTAN,MANHATTAN,999893,241998,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83089018370784,-73.94347328611317,"(40.83089018370784, -73.94347328611317)"
36571503,06/28/2017 12:00:00 AM,06/02/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11435,139-15 90 AVENUE,90 AVENUE,139 STREET,143 STREET,,,ADDRESS,Jamaica,,N/A,Pending,07/28/2017 11:05:02 AM,06/28/2017 11:08:44 AM,12 QUEENS,QUEENS,1036296,194918,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70152859482386,-73.81229415114163,"(40.70152859482386, -73.81229415114163)"
36571504,06/28/2017 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11101,25-76 41 AVENUE,41 AVENUE,CRESCENT STREET,27 STREET,,,ADDRESS,Long Island City,,N/A,Assigned,07/28/2017 09:27:36 PM,06/28/2017 09:33:18 PM,01 QUEENS,QUEENS,1001164,213308,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75214154518556,-73.93895271983504,"(40.75214154518556, -73.93895271983504)"
36571505,06/28/2017 12:00:00 AM,07/11/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11206,100 MARTIN LUTHER KING PLACE,MARTIN LUTHER KING PLACE,MARCY AVENUE,TOMPKINS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,07/28/2017 10:54:17 PM,07/11/2017 12:00:00 AM,03 BROOKLYN,BROOKLYN,998465,193190,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.696927277490154,-73.9487366444643,"(40.696927277490154, -73.9487366444643)"
36571507,06/29/2017 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10040,598 WEST  191 STREET,WEST  191 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,07/29/2017 12:39:29 AM,06/29/2017 12:00:00 AM,12 MANHATTAN,MANHATTAN,1003900,250954,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85546376854732,-73.92896756642051,"(40.85546376854732, -73.92896756642051)"
